date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:57:25	126/126	---MCZ	200	added ('OK')	text/plain	date:Wed,%2009%20Apr%202025%2004:57:24%20GMT	http://www.sxxhdjn.com/robots.txt		(from )
12:57:25	128798/128798	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Apr%202025%2004:57:25%20GMT	http://www.sxxhdjn.com/	D:/Test/Test/www.sxxhdjn.com/index.html	(from )
12:57:26	1468/1468	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2261bafa69-5bc%22	https://s.dlssyht.cn/plugins/public/js/cookies.js	D:/Test/Test/s.dlssyht.cn/plugins/public/js/cookies.js	(from http://www.sxxhdjn.com/)
12:57:27	93868/93868	---M--	200	added ('OK')	application/javascript	etag:%2261f0cb86-16eac%22	https://lf9-cdn-tos.bytecdntp.com/cdn/expire-1-y/jquery/1.7.1/jquery.min.js	D:/Test/Test/lf9-cdn-tos.bytecdntp.com/cdn/expire-1-y/jquery/1.7.1/jquery.min.js	(from http://www.sxxhdjn.com/)
12:57:27	9938/9938	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2267d2a2cf-26d2%22	https://s.dlssyht.cn/Language/Zh-cn/Language.js?0319	D:/Test/Test/s.dlssyht.cn/Language/Zh-cn/Languagefd47.js	(from http://www.sxxhdjn.com/)
12:57:27	10709/10709	---MCZ	200	added ('OK')	text/css	etag:W/%2261bafa38-29d5%22	https://s.dlssyht.cn/js/ev_popup/skin/skin.min.css?0319	D:/Test/Test/s.dlssyht.cn/js/ev_popup/skin/skin.minfd47.css	(from http://www.sxxhdjn.com/)
12:57:27	11678/11678	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2261bafa38-2d9e%22	https://s.dlssyht.cn/js/ev_popup/ev_popup.min.js?0319	D:/Test/Test/s.dlssyht.cn/js/ev_popup/ev_popup.minfd47.js	(from http://www.sxxhdjn.com/)
12:57:28	53155/53155	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2267d2a2cf-cfa3%22	https://s.dlssyht.cn/js/VNew/public.js?0319	D:/Test/Test/s.dlssyht.cn/js/VNew/publicfd47.js	(from http://www.sxxhdjn.com/)
12:57:28	49830/49830	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2261bafa68-c2a6%22	https://s.dlssyht.cn/plugins/public/js/lightGallery/js/lightgallery-all.min.js?0319	D:/Test/Test/s.dlssyht.cn/plugins/public/js/lightGallery/js/lightgallery-all.minfd47.js	(from http://www.sxxhdjn.com/)
12:57:28	92989/92989	---MCZ	200	added ('OK')	text/css	etag:W/%2261bafa68-16b3d%22	https://s.dlssyht.cn/plugins/public/js/lightGallery/css/lightgallery.min.css?0319	D:/Test/Test/s.dlssyht.cn/plugins/public/js/lightGallery/css/lightgallery.minfd47.css	(from http://www.sxxhdjn.com/)
